Area_Name,Year,Group_Name,Loss_of_Property_1_10_Crores,Loss_of_Property_10_25_Crores,Loss_of_Property_25_50_Crores,Loss_of_Property_50_100_Crores,Loss_of_Property_Above_100_Crores
Andhra Pradesh,2001,Cheating,4,0,0,0,0
Arunachal Pradesh,2001,Cheating,0,0,0,0,0
Assam,2001,Cheating,0,0,0,0,0
Bihar,2001,Cheating,0,0,0,0,0
Chandigarh,2001,Cheating,0,0,0,0,0
Chhattisgarh,2001,Cheating,0,0,0,0,0
Delhi,2001,Cheating,2,,,,
Goa,2001,Cheating,2,,,,
Gujarat,2001,Cheating,14,0,1,1,0
Haryana,2001,Cheating,0,0,0,0,0
Himachal Pradesh,2001,Cheating,0,0,0,0,0
Jammu & Kashmir,2001,Cheating,0,0,0,0,0
Jharkhand,2001,Cheating,0,0,2,0,0
Karnataka,2001,Cheating,52,0,0,0,0
Maharashtra,2001,Cheating,8,1,0,0,0
Meghalaya,2001,Cheating,0,0,0,0,0
Nagaland,2001,Cheating,7,0,0,0,0
Odisha,2001,Cheating,0,0,0,0,0
Punjab,2001,Cheating,2150,,,,
Tamil Nadu,2001,Cheating,5,,,,
West Bengal,2001,Cheating,2,2,0,0,0
Andhra Pradesh,2002,Cheating,0,0,0,0,0
Bihar,2002,Cheating,0,0,0,0,0
Chandigarh,2002,Cheating,0,0,0,0,0
Chhattisgarh,2002,Cheating,16,0,0,0,0
Daman & Diu,2002,Cheating,0,0,0,0,0
Goa,2002,Cheating,1,,,,
Gujarat,2002,Cheating,10,1,0,1,1
Haryana,2002,Cheating,0,0,0,0,0
Himachal Pradesh,2002,Cheating,0,0,0,0,0
Jammu & Kashmir,2002,Cheating,0,0,0,0,0
Karnataka,2002,Cheating,4,0,0,0,0
Madhya Pradesh,2002,Cheating,0,0,0,0,0
Maharashtra,2002,Cheating,30,7,2,0,0
Meghalaya,2002,Cheating,0,0,0,0,0
Nagaland,2002,Cheating,3,0,0,0,0
Odisha,2002,Cheating,0,0,0,0,0
Punjab,2002,Cheating,485,0,0,0,0
Tamil Nadu,2002,Cheating,1,1,0,0,0
West Bengal,2002,Cheating,0,1,0,0,1
Andhra Pradesh,2003,Cheating,0,0,0,0,0
Arunachal Pradesh,2003,Cheating,0,0,0,0,0
Bihar,2003,Cheating,0,0,0,0,0
Chandigarh,2003,Cheating,2,0,1,0,0
Chhattisgarh,2003,Cheating,0,0,0,0,0
Dadra & Nagar Haveli,2003,Cheating,1,,,,
Daman & Diu,2003,Cheating,0,0,0,0,0
Delhi,2003,Cheating,26,0,0,0,0
Goa,2003,Cheating,6,,,,
Gujarat,2003,Cheating,10,0,0,0,0
Haryana,2003,Cheating,0,,0,0,
Himachal Pradesh,2003,Cheating,0,0,0,0,0
Jammu & Kashmir,2003,Cheating,0,0,0,0,0
Jharkhand,2003,Cheating,0,0,0,0,0
Karnataka,2003,Cheating,24,0,0,0,0
Maharashtra,2003,Cheating,4,2,0,0,0
Meghalaya,2003,Cheating,0,0,0,0,0
Nagaland,2003,Cheating,0,0,0,0,0
Odisha,2003,Cheating,0,0,0,0,0
Punjab,2003,Cheating,0,0,0,0,0
Sikkim,2003,Cheating,0,,,,
Tamil Nadu,2003,Cheating,1,,,,
West Bengal,2003,Cheating,3,0,0,0,0
Andhra Pradesh,2004,Cheating,2,0,0,0,0
Arunachal Pradesh,2004,Cheating,0,0,0,0,0
Bihar,2004,Cheating,0,0,0,0,0
Chhattisgarh,2004,Cheating,0,0,0,0,0
Delhi,2004,Cheating,9,,,,
Goa,2004,Cheating,2,,,,
Gujarat,2004,Cheating,31,1,0,0,0
Himachal Pradesh,2004,Cheating,0,0,0,0,0
Karnataka,2004,Cheating,21,0,0,0,0
Madhya Pradesh,2004,Cheating,0,0,0,0,0
Maharashtra,2004,Cheating,14,1,1,0,0
Manipur,2004,Cheating,0,0,0,0,0
Meghalaya,2004,Cheating,0,0,0,0,0
Mizoram,2004,Cheating,0,0,0,0,0
Nagaland,2004,Cheating,1,0,0,0,0
Odisha,2004,Cheating,0,0,0,0,0
Puducherry,2004,Cheating,,1,,,
Punjab,2004,Cheating,0,0,0,0,0
Sikkim,2004,Cheating,22,,,,
Tamil Nadu,2004,Cheating,0,0,0,0,0
West Bengal,2004,Cheating,12,1,0,0,0
Andhra Pradesh,2005,Cheating,1,0,0,0,0
Arunachal Pradesh,2005,Cheating,0,0,0,0,0
Assam,2005,Cheating,0,0,0,0,0
Bihar,2005,Cheating,0,0,0,0,0
Chandigarh,2005,Cheating,2,0,0,0,0
Chhattisgarh,2005,Cheating,0,0,0,0,0
Delhi,2005,Cheating,4,,,,
Goa,2005,Cheating,1,,,,
Gujarat,2005,Cheating,19,1,0,0,0
Haryana,2005,Cheating,1,0,0,0,0
Himachal Pradesh,2005,Cheating,0,0,0,0,0
Jammu & Kashmir,2005,Cheating,0,0,0,0,0
Karnataka,2005,Cheating,5,1,0,1,0
Madhya Pradesh,2005,Cheating,0,0,0,0,0
Maharashtra,2005,Cheating,35,2,2,0,0
Manipur,2005,Cheating,1,0,0,0,0
