Area_Name,Year,Group_Name,Victims_Upto_10_Yrs,Victims_Upto_10_15_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs,Victims_Above_50_Yrs,Victims_Total
Andaman & Nicobar Islands,2001,Female Victims,,,,4,2,,6
Andhra Pradesh,2001,Female Victims,38,15,43,269,175,67,607
Arunachal Pradesh,2001,Female Victims,0,0,0,10,4,2,16
Assam,2001,Female Victims,4,8,23,45,37,11,128
Bihar,2001,Female Victims,0,0,40,191,123,12,366
Chandigarh,2001,Female Victims,0,0,0,1,1,3,5
Chhattisgarh,2001,Female Victims,38,14,38,214,182,63,549
Delhi,2001,Female Victims,12,2,9,74,41,14,152
Goa,2001,Female Victims,,,,4,8,1,13
Gujarat,2001,Female Victims,57,9,8,132,131,26,363
Haryana,2001,Female Victims,12,1,15,67,42,6,143
Himachal Pradesh,2001,Female Victims,1,1,1,11,19,6,39
Jammu & Kashmir,2001,Female Victims,2,13,27,68,53,24,187
Jharkhand,2001,Female Victims,0,0,39,126,102,24,291
Karnataka,2001,Female Victims,38,13,24,250,201,51,577
Kerala,2001,Female Victims,36,5,8,25,58,24,156
Lakshadweep,2001,Female Victims,1,1,0,0,0,0,2
Madhya Pradesh,2001,Female Victims,41,13,37,281,219,31,622
Maharashtra,2001,Female Victims,76,28,41,555,290,78,1068
Manipur,2001,Female Victims,2,,,2,3,1,8
Meghalaya,2001,Female Victims,0,0,0,4,2,0,6
Mizoram,2001,Female Victims,0,0,0,9,3,0,12
Nagaland,2001,Female Victims,0,0,2,0,0,0,2
Odisha,2001,Female Victims,0,0,13,140,81,26,260
Puducherry,2001,Female Victims,,,1,5,4,,10
Punjab,2001,Female Victims,3,1,21,90,77,11,203
Rajasthan,2001,Female Victims,8,4,15,108,81,32,248
Sikkim,2001,Female Victims,,,,1,5,,6
Tamil Nadu,2001,Female Victims,5,8,113,174,191,34,525
Tripura,2001,Female Victims,,,2,3,2,2,9
Uttar Pradesh,2001,Female Victims,10,65,103,626,417,102,1323
Uttarakhand,2001,Female Victims,2,2,1,72,29,4,110
West Bengal,2001,Female Victims,0,0,1,213,132,12,358
Andaman & Nicobar Islands,2002,Female Victims,0,0,1,2,4,0,7
Andhra Pradesh,2002,Female Victims,5,17,3,371,185,81,662
Arunachal Pradesh,2002,Female Victims,,,,3,1,,4
Assam,2002,Female Victims,0,0,0,64,43,4,111
Bihar,2002,Female Victims,3,0,2,242,144,6,397
Chandigarh,2002,Female Victims,1,0,0,3,3,2,9
Chhattisgarh,2002,Female Victims,5,2,2,111,82,26,228
Dadra & Nagar Haveli,2002,Female Victims,0,0,0,0,1,0,1
Daman & Diu,2002,Female Victims,0,0,0,2,0,0,2
Delhi,2002,Female Victims,6,3,2,69,36,14,130
Goa,2002,Female Victims,,,,1,2,4,7
Gujarat,2002,Female Victims,57,25,11,252,182,67,594
Haryana,2002,Female Victims,2,3,1,97,47,6,156
Himachal Pradesh,2002,Female Victims,2,0,2,19,10,1,34
Jammu & Kashmir,2002,Female Victims,0,0,0,71,85,7,163
Jharkhand,2002,Female Victims,1,1,1,140,107,56,306
Karnataka,2002,Female Victims,7,0,3,346,214,25,595
Kerala,2002,Female Victims,44,5,2,31,46,27,155
Madhya Pradesh,2002,Female Victims,2,5,7,258,194,71,537
Maharashtra,2002,Female Victims,75,27,18,475,293,78,966
Manipur,2002,Female Victims,0,0,0,7,6,1,14
Meghalaya,2002,Female Victims,1,0,0,3,20,1,25
Mizoram,2002,Female Victims,0,0,0,8,1,0,9
